,TEAM,GAME DATE,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP_EFG%,OPP_FTA RATE,OPP_TOV%,OPP_OREB%,OPP,Home/Away,REST,OPP_REST,W/L,+/-
0,POR,10/25/16,48,0.607,0.293,0.14,0.167,0.537,0.195,0.144,0.171,UTA,1,0,0,1,9
1,UTA,10/25/16,48,0.537,0.195,0.144,0.171,0.607,0.293,0.14,0.167,POR,0,0,0,0,-9
2,NYK,10/25/16,48,0.42,0.23,0.179,0.245,0.548,0.202,0.141,0.275,CLE,0,0,0,0,-29
3,GSW,10/25/16,48,0.512,0.212,0.159,0.19,0.541,0.265,0.137,0.438,SAS,1,0,0,0,-29
4,SAS,10/25/16,48,0.541,0.265,0.137,0.438,0.512,0.212,0.159,0.19,GSW,0,0,0,1,29
5,CLE,10/25/16,48,0.548,0.202,0.141,0.275,0.42,0.23,0.179,0.245,NYK,1,0,0,1,29
6,NOP,10/26/16,48,0.429,0.283,0.101,0.096,0.494,0.398,0.224,0.282,DEN,1,0,0,0,-5
7,PHX,10/26/16,48,0.494,0.351,0.186,0.244,0.547,0.302,0.138,0.244,SAC,1,0,0,0,-19
8,SAC,10/26/16,48,0.547,0.302,0.138,0.244,0.494,0.351,0.186,0.244,PHX,0,0,0,1,19
9,HOU,10/26/16,48,0.552,0.314,0.146,0.263,0.573,0.247,0.154,0.275,LAL,0,0,0,0,-6
10,TOR,10/26/16,48,0.494,0.337,0.124,0.304,0.44,0.262,0.14,0.178,DET,1,0,0,1,18
11,MIN,10/26/16,48,0.453,0.337,0.116,0.306,0.519,0.338,0.138,0.268,MEM,0,0,0,0,-4
12,IND,10/26/16,48,0.559,0.366,0.138,0.17,0.519,0.173,0.128,0.185,DAL,1,0,0,1,9
13,OKC,10/26/16,48,0.447,0.277,0.098,0.255,0.47,0.298,0.135,0.111,PHI,0,0,0,1,6
14,LAL,10/26/16,48,0.573,0.247,0.154,0.275,0.552,0.314,0.146,0.263,HOU,1,0,0,1,6
15,CHA,10/26/16,48,0.489,0.27,0.101,0.234,0.44,0.217,0.081,0.2,MIL,0,0,0,1,11
16,PHI,10/26/16,48,0.47,0.298,0.135,0.111,0.447,0.277,0.098,0.255,OKC,1,0,0,0,-6
17,DAL,10/26/16,48,0.519,0.173,0.128,0.185,0.559,0.366,0.138,0.17,IND,0,0,0,0,-9
18,MIL,10/26/16,48,0.44,0.217,0.081,0.2,0.489,0.27,0.101,0.234,CHA,1,0,0,0,-11
19,ORL,10/26/16,48,0.416,0.315,0.113,0.294,0.505,0.165,0.12,0.348,MIA,1,0,0,0,-12
